ID,Title,Price,Location
309,New pioneer  bluetooth car,$100,Milwaukee
310,Auto/Car/ Truck steel service ramps rated for 7000 pounds,$80,Milwaukee
311,honda accord,$1100,Milwaukee
312,2011 ford truck,$7000,unknown
313,1996 Chevrolet Camaro Z28,$12900,Crystal Lake
314,2007 CHEVROLET TRAILBLAZER,$3999,MILWAUKEE WI
315,2016 BMW 428i X-Drive Convertible,$23900,Brookfiled
316,2004 FORD EXPLORER,$2999,MILWAUKEE WI
317,2004 LEXUS GS 300,$2999,ZION ILLINOIS
318,2005 SUBARU LEGACY,$3999,ZION ILLINOIS
319,2010 CHEVROLET SILVERADO,$9999,ZION ILLINOIS
320,2006 BMW 750LI,$7999,ZION ILLINOIS
321,2010 CADILLAC SRX,$7999,ZION ILLINOIS
322,2015 FORD FUSION,$6999,ZION ILLINOIS
323,2006 MERCEDES-BENZ C230 SPORT,$4999,ZION ILLINOIS
324,2010 NISSAN MURANO,$6999,ZION ILLINOIS
325,2003 ACURA MDX,$3999,ZION ILLINOIS
326,2005 INFINITI FX35,$10999,ZION ILLINOIS
327,2001 VOLVO S60,$2999,ZION ILLINOIS
328,2011 MERCURY MILAN,$4999,ZION ILLINOIS
329,2014 DODGE DART,$6999,ZION ILLINOIS
330,2008 NISSAN XTERRA,$2999,ZION ILLINOIS
331,2009 GMC ACADIA,$6999,ZION ILLINOIS
332,2004 HYUNDAI SANTA FE,$2999,ZION ILLINOIS
333,2007 TOYOTA CAMRY,$3999,ZION ILLINOIS
334,NEW 22' 7000 lb Car Hauler flatbed UTV trailer w/ rear slid ramps,$4195,Franksville
335,2014 Chrysler Town & Country Touring*Back up camera*Nav*DVD/TV*Sunroof,$10999,Car King in West Allis*10124 W. Greenfield Avenue
336,2012 Honda Civic*Keyless*Aux*Great miles per gallon*,$8999,Car King in West Allis*10124 W. Greenfield Avenue
337,2016 Kia Forte*136000 miles*Back up camera*Keyless*,$7999,Car King in West Allis*10124 W. Greenfield Avenue
338,2012 Ford Mustang*Leather*Shaker stereo with Aux*Keyless*,$10999,Car King in West Allis*10124 W. Greenfield Avenue
